RetailerID,Name,ContactInfo,CreatedAt,UserID
59,Cohen-Mclaughlin,zhansen@yahoo.com,2020-07-04 23:46:56,32
60,"Lin, Cohen and Torres",williamskristin@outlook.com,2021-02-02 23:46:56,245
61,"Robertson, Watson and Henry",robertschroeder@gmail.com,2021-02-01 23:46:56,244
62,Turner-Mueller,hernandezjessica@outlook.com,2020-12-31 23:46:56,212
63,"Wright, Barry and Vasquez",hallbonnie@yahoo.com,2020-09-08 23:46:56,98
64,Kim-Young,kristen90@outlook.com,2020-06-07 23:46:56,5
65,Webster-Reynolds,kelly73@gmail.com,2020-09-11 23:46:56,101
66,Becker PLC,jacob60@hotmail.com,2021-01-22 23:46:56,234
67,Pierce-Hall,charlesdiaz@example.com,2020-06-18 23:46:56,16
68,Johnson-Landry,justinfox@yahoo.com,2020-10-06 23:46:56,126
69,Joseph Group,sharon49@yahoo.com,2020-09-28 23:46:56,118
70,"Thompson, Robinson and Collins",smithsandra@hotmail.com,2020-12-12 23:46:56,193
71,Juarez Inc,wesley06@hotmail.com,2020-07-22 23:46:56,50
72,Sharp-Castillo,robert64@example.com,2020-07-19 23:46:56,47
73,Cooper-Rodriguez,psimon@example.com,2020-06-09 23:46:56,7
74,"Smith, Morgan and Murphy",dward@example.com,2020-09-15 23:46:56,105
75,Vance-Bell,aaron85@example.com,2020-11-10 23:46:56,161
76,"Smith, Ingram and Yu",westlinda@yahoo.com,2020-08-20 23:46:56,79
77,Davies Group,whorton@outlook.com,2020-09-13 23:46:56,103
78,Thornton Inc,michellevaughn@gmail.com,2020-10-07 23:46:56,127
79,Grant-Smith,eric32@hotmail.com,2021-01-30 23:46:56,242
80,"Wong, Silva and Gonzalez",jennifer43@gmail.com,2021-01-27 23:46:56,239
81,Chang and Sons,ashleythomas@hotmail.com,2020-09-16 23:46:56,106
82,Lindsey LLC,robertsgarrett@hotmail.com,2021-01-19 23:46:56,231
83,Dickerson Group,aallen@yahoo.com,2020-06-16 23:46:56,14
84,Hall-Montoya,sean32@outlook.com,2020-10-20 23:46:56,140
85,Harris PLC,nicole07@gmail.com,2020-11-27 23:46:56,178
86,"Rice, Matthews and Pierce",jordanronald@example.com,2020-06-24 23:46:56,22
87,Ellis and Sons,gordonjoseph@yahoo.com,2020-11-14 23:46:56,165
88,Reynolds-Gonzalez,hansentodd@hotmail.com,2020-08-16 23:46:56,75
89,Coleman Inc,millervanessa@outlook.com,2020-10-25 23:46:56,145
90,Sullivan PLC,maureenmiller@yahoo.com,2020-12-04 23:46:56,185
91,Fuller and Sons,jjenkins@gmail.com,2020-10-22 23:46:56,142
92,Ford LLC,rdoyle@gmail.com,2020-12-26 23:46:56,207
93,"Lewis, Wagner and Cooper",wglover@outlook.com,2020-11-15 23:46:56,166
94,Baker-Myers,parrishkatherine@outlook.com,2020-10-04 23:46:56,124
95,Graham-Hogan,colemandaniel@outlook.com,2021-01-29 23:46:56,241
96,Munoz Group,jgardner@gmail.com,2020-12-02 23:46:56,183
97,Faulkner Ltd,ldowns@outlook.com,2020-09-23 23:46:56,113
98,"Thompson, Holmes and Ryan",kristine11@gmail.com,2020-06-20 23:46:56,18
99,Walters and Sons,rodriguezroger@outlook.com,2020-09-10 23:46:56,100
100,Roberson Inc,christopher72@example.com,2021-01-28 23:46:56,240
