TrackingID,OrderID,Status_x,UpdatedAt,Status_y,OrderDate,Status
,54,,,Delivered,2024-05-29 02:20:09,Delivered
,54,,,Delivered,2024-05-29 02:20:09,Delivered
,55,,,In Transit,2024-03-13 22:54:19,In Transit
,55,,,In Transit,2024-03-13 22:54:19,In Transit
,56,,,Delivered,2024-09-22 19:52:59,Delivered
,56,,,Delivered,2024-09-22 19:52:59,Delivered
,57,,,Delivered,2024-01-21 13:32:09,Delivered
,58,,,Shipped,2024-04-05 06:29:41,Shipped
,58,,,Shipped,2024-04-05 06:29:41,Shipped
,59,,,In Transit,2024-11-22 09:40:25,In Transit
,60,,,In Transit,2024-11-17 17:56:03,In Transit
,60,,,In Transit,2024-11-17 17:56:03,In Transit
,61,,,Shipped,2024-07-05 11:25:45,Shipped
,61,,,Shipped,2024-07-05 11:25:45,Shipped
,61,,,Shipped,2024-07-05 11:25:45,Shipped
,62,,,Shipped,2024-04-29 05:11:51,Shipped
,62,,,Shipped,2024-04-29 05:11:51,Shipped
,63,,,Shipped,2024-07-24 01:12:23,Shipped
,64,,,Delivered,2024-09-05 17:30:28,Delivered
,64,,,Delivered,2024-09-05 17:30:28,Delivered
,64,,,Delivered,2024-09-05 17:30:28,Delivered
,65,,,In Transit,2024-09-17 05:53:28,In Transit
,66,,,In Transit,2024-08-02 09:22:05,In Transit
,66,,,In Transit,2024-08-02 09:22:05,In Transit
,67,,,Delivered,2024-10-30 20:10:37,Delivered
,67,,,Delivered,2024-10-30 20:10:37,Delivered
,67,,,Delivered,2024-10-30 20:10:37,Delivered
,68,,,Shipped,2024-11-05 14:12:23,Shipped
,68,,,Shipped,2024-11-05 14:12:23,Shipped
,68,,,Shipped,2024-11-05 14:12:23,Shipped
,69,,,Delivered,2024-10-15 15:26:59,Delivered
,69,,,Delivered,2024-10-15 15:26:59,Delivered
,69,,,Delivered,2024-10-15 15:26:59,Delivered
,70,,,In Transit,2024-01-16 04:26:43,In Transit
,70,,,In Transit,2024-01-16 04:26:43,In Transit
,71,,,Shipped,2024-03-25 11:16:28,Shipped
,71,,,Shipped,2024-03-25 11:16:28,Shipped
,71,,,Shipped,2024-03-25 11:16:28,Shipped
,72,,,Shipped,2024-08-28 01:43:34,Shipped
,72,,,Shipped,2024-08-28 01:43:34,Shipped
,72,,,Shipped,2024-08-28 01:43:34,Shipped
,73,,,In Transit,2024-07-01 10:24:29,In Transit
,74,,,Delivered,2024-02-29 18:25:28,Delivered
,75,,,Shipped,2024-10-02 04:55:03,Shipped
,75,,,Shipped,2024-10-02 04:55:03,Shipped
,75,,,Shipped,2024-10-02 04:55:03,Shipped
,76,,,Shipped,2024-06-24 03:49:11,Shipped
,76,,,Shipped,2024-06-24 03:49:11,Shipped
,76,,,Shipped,2024-06-24 03:49:11,Shipped
,77,,,Delivered,2024-02-10 21:47:04,Delivered
,78,,,Delivered,2024-01-22 03:49:54,Delivered
,78,,,Delivered,2024-01-22 03:49:54,Delivered
,79,,,Delivered,2024-11-06 11:27:36,Delivered
,79,,,Delivered,2024-11-06 11:27:36,Delivered
,80,,,Delivered,2024-08-07 05:00:43,Delivered
,81,,,In Transit,2024-12-09 15:48:49,In Transit
,81,,,In Transit,2024-12-09 15:48:49,In Transit
,82,,,In Transit,2024-04-05 21:20:30,In Transit
,83,,,In Transit,2024-02-29 21:40:05,In Transit
,83,,,In Transit,2024-02-29 21:40:05,In Transit
,83,,,In Transit,2024-02-29 21:40:05,In Transit
,84,,,Delivered,2024-12-04 22:31:18,Delivered
,84,,,Delivered,2024-12-04 22:31:18,Delivered
,85,,,In Transit,2024-12-30 07:25:34,In Transit
,86,,,Shipped,2024-08-21 05:28:48,Shipped
,86,,,Shipped,2024-08-21 05:28:48,Shipped
,86,,,Shipped,2024-08-21 05:28:48,Shipped
,87,,,In Transit,2024-12-31 01:28:35,In Transit
,87,,,In Transit,2024-12-31 01:28:35,In Transit
,87,,,In Transit,2024-12-31 01:28:35,In Transit
,88,,,Shipped,2024-02-20 13:58:27,Shipped
,88,,,Shipped,2024-02-20 13:58:27,Shipped
,89,,,Shipped,2024-02-15 20:19:20,Shipped
,89,,,Shipped,2024-02-15 20:19:20,Shipped
,89,,,Shipped,2024-02-15 20:19:20,Shipped
,90,,,Shipped,2024-12-27 21:17:35,Shipped
,90,,,Shipped,2024-12-27 21:17:35,Shipped
,91,,,Shipped,2024-08-11 17:09:04,Shipped
,91,,,Shipped,2024-08-11 17:09:04,Shipped
,92,,,In Transit,2024-04-09 23:48:02,In Transit
,92,,,In Transit,2024-04-09 23:48:02,In Transit
,93,,,Delivered,2024-04-17 18:28:06,Delivered
,94,,,In Transit,2024-02-29 10:22:40,In Transit
,95,,,Delivered,2024-08-09 07:59:38,Delivered
,96,,,In Transit,2024-10-30 11:56:32,In Transit
,96,,,In Transit,2024-10-30 11:56:32,In Transit
,96,,,In Transit,2024-10-30 11:56:32,In Transit
,97,,,Delivered,2024-12-10 09:59:56,Delivered
,97,,,Delivered,2024-12-10 09:59:56,Delivered
,98,,,Shipped,2024-10-14 10:40:03,Shipped
,98,,,Shipped,2024-10-14 10:40:03,Shipped
,98,,,Shipped,2024-10-14 10:40:03,Shipped
,99,,,Shipped,2024-09-16 22:23:49,Shipped
,99,,,Shipped,2024-09-16 22:23:49,Shipped
,99,,,Shipped,2024-09-16 22:23:49,Shipped
,100,,,Shipped,2024-04-15 22:44:10,Shipped
,101,,,Shipped,2024-05-11 22:23:27,Shipped
,101,,,Shipped,2024-05-11 22:23:27,Shipped
,101,,,Shipped,2024-05-11 22:23:27,Shipped
,102,,,Delivered,2024-04-23 20:03:41,Delivered
,103,,,Delivered,2024-01-26 23:49:14,Delivered
,104,,,Shipped,2024-08-11 19:54:53,Shipped
,105,,,Shipped,2024-01-08 20:44:48,Shipped
,105,,,Shipped,2024-01-08 20:44:48,Shipped
,105,,,Shipped,2024-01-08 20:44:48,Shipped
,106,,,Shipped,2024-11-09 17:13:56,Shipped
,106,,,Shipped,2024-11-09 17:13:56,Shipped
,107,,,Delivered,2024-05-03 10:01:46,Delivered
,107,,,Delivered,2024-05-03 10:01:46,Delivered
,108,,,Delivered,2024-08-20 18:13:27,Delivered
,108,,,Delivered,2024-08-20 18:13:27,Delivered
,108,,,Delivered,2024-08-20 18:13:27,Delivered
,109,,,In Transit,2024-06-29 19:45:13,In Transit
,110,,,Delivered,2024-11-10 13:48:45,Delivered
,110,,,Delivered,2024-11-10 13:48:45,Delivered
,110,,,Delivered,2024-11-10 13:48:45,Delivered
,111,,,Shipped,2024-07-27 10:45:56,Shipped
,111,,,Shipped,2024-07-27 10:45:56,Shipped
,111,,,Shipped,2024-07-27 10:45:56,Shipped
,112,,,In Transit,2024-11-01 23:19:46,In Transit
,112,,,In Transit,2024-11-01 23:19:46,In Transit
,112,,,In Transit,2024-11-01 23:19:46,In Transit
,113,,,Shipped,2024-08-08 17:47:31,Shipped
,113,,,Shipped,2024-08-08 17:47:31,Shipped
,113,,,Shipped,2024-08-08 17:47:31,Shipped
,114,,,Shipped,2024-04-20 21:19:06,Shipped
,115,,,Delivered,2024-03-18 08:04:43,Delivered
,116,,,In Transit,2024-07-08 00:33:20,In Transit
,116,,,In Transit,2024-07-08 00:33:20,In Transit
,117,,,Delivered,2024-12-22 17:58:47,Delivered
,117,,,Delivered,2024-12-22 17:58:47,Delivered
,117,,,Delivered,2024-12-22 17:58:47,Delivered
,118,,,Delivered,2024-06-11 19:01:20,Delivered
,118,,,Delivered,2024-06-11 19:01:20,Delivered
,119,,,In Transit,2024-06-04 20:45:16,In Transit
,119,,,In Transit,2024-06-04 20:45:16,In Transit
,119,,,In Transit,2024-06-04 20:45:16,In Transit
,120,,,Delivered,2024-05-12 11:05:49,Delivered
,121,,,Shipped,2024-07-02 19:54:07,Shipped
,121,,,Shipped,2024-07-02 19:54:07,Shipped
,121,,,Shipped,2024-07-02 19:54:07,Shipped
,122,,,Delivered,2024-11-16 18:17:41,Delivered
,123,,,Shipped,2024-04-26 11:42:41,Shipped
,123,,,Shipped,2024-04-26 11:42:41,Shipped
,123,,,Shipped,2024-04-26 11:42:41,Shipped
,124,,,In Transit,2024-03-31 16:26:14,In Transit
,124,,,In Transit,2024-03-31 16:26:14,In Transit
,125,,,Delivered,2024-12-07 23:12:35,Delivered
,126,,,In Transit,2024-10-11 13:34:25,In Transit
,126,,,In Transit,2024-10-11 13:34:25,In Transit
,127,,,Delivered,2024-02-09 12:37:11,Delivered
,127,,,Delivered,2024-02-09 12:37:11,Delivered
,128,,,In Transit,2024-10-18 20:14:54,In Transit
,129,,,Shipped,2024-05-30 16:39:17,Shipped
,129,,,Shipped,2024-05-30 16:39:17,Shipped
,129,,,Shipped,2024-05-30 16:39:17,Shipped
,130,,,In Transit,2024-04-12 18:35:14,In Transit
,130,,,In Transit,2024-04-12 18:35:14,In Transit
,131,,,In Transit,2024-08-04 08:47:19,In Transit
,131,,,In Transit,2024-08-04 08:47:19,In Transit
,132,,,Shipped,2024-10-19 00:54:33,Shipped
,133,,,Shipped,2024-04-28 07:35:31,Shipped
,134,,,Shipped,2024-09-27 05:37:33,Shipped
,134,,,Shipped,2024-09-27 05:37:33,Shipped
,134,,,Shipped,2024-09-27 05:37:33,Shipped
,135,,,Delivered,2024-06-05 21:26:22,Delivered
,135,,,Delivered,2024-06-05 21:26:22,Delivered
,135,,,Delivered,2024-06-05 21:26:22,Delivered
,136,,,Delivered,2024-06-18 09:49:42,Delivered
,137,,,In Transit,2024-03-28 11:43:56,In Transit
,137,,,In Transit,2024-03-28 11:43:56,In Transit
,137,,,In Transit,2024-03-28 11:43:56,In Transit
,138,,,Shipped,2024-09-09 01:00:33,Shipped
,138,,,Shipped,2024-09-09 01:00:33,Shipped
,139,,,Shipped,2024-01-03 11:49:12,Shipped
,139,,,Shipped,2024-01-03 11:49:12,Shipped
,140,,,In Transit,2024-02-12 07:47:38,In Transit
,141,,,In Transit,2024-02-10 22:00:00,In Transit
,142,,,Shipped,2024-01-03 20:54:24,Shipped
,142,,,Shipped,2024-01-03 20:54:24,Shipped
,143,,,In Transit,2024-04-12 04:29:13,In Transit
,144,,,Delivered,2024-10-20 06:24:32,Delivered
,144,,,Delivered,2024-10-20 06:24:32,Delivered
,145,,,Delivered,2024-02-05 08:01:43,Delivered
,146,,,Delivered,2024-09-25 18:09:09,Delivered
,146,,,Delivered,2024-09-25 18:09:09,Delivered
,147,,,Delivered,2024-11-21 06:28:43,Delivered
,147,,,Delivered,2024-11-21 06:28:43,Delivered
,148,,,In Transit,2024-06-20 16:02:36,In Transit
,149,,,Shipped,2024-02-23 15:39:42,Shipped
,149,,,Shipped,2024-02-23 15:39:42,Shipped
,150,,,Shipped,2024-06-19 22:38:25,Shipped
,150,,,Shipped,2024-06-19 22:38:25,Shipped
,150,,,Shipped,2024-06-19 22:38:25,Shipped
,151,,,Delivered,2024-09-10 09:07:45,Delivered
,151,,,Delivered,2024-09-10 09:07:45,Delivered
,152,,,Shipped,2024-06-11 20:43:37,Shipped
,152,,,Shipped,2024-06-11 20:43:37,Shipped
,152,,,Shipped,2024-06-11 20:43:37,Shipped
,153,,,In Transit,2024-12-08 17:12:22,In Transit
,153,,,In Transit,2024-12-08 17:12:22,In Transit
,154,,,Shipped,2024-12-02 22:34:07,Shipped
,154,,,Shipped,2024-12-02 22:34:07,Shipped
,154,,,Shipped,2024-12-02 22:34:07,Shipped
,155,,,Delivered,2024-12-22 20:00:16,Delivered
,155,,,Delivered,2024-12-22 20:00:16,Delivered
,155,,,Delivered,2024-12-22 20:00:16,Delivered
,156,,,Delivered,2024-04-19 16:51:07,Delivered
,156,,,Delivered,2024-04-19 16:51:07,Delivered
,156,,,Delivered,2024-04-19 16:51:07,Delivered
,157,,,Delivered,2024-01-03 09:50:39,Delivered
,158,,,Shipped,2024-06-25 22:35:29,Shipped
,158,,,Shipped,2024-06-25 22:35:29,Shipped
,158,,,Shipped,2024-06-25 22:35:29,Shipped
,159,,,In Transit,2024-10-16 00:42:13,In Transit
,160,,,Shipped,2024-04-10 19:02:21,Shipped
,160,,,Shipped,2024-04-10 19:02:21,Shipped
,160,,,Shipped,2024-04-10 19:02:21,Shipped
,161,,,Delivered,2024-10-08 10:55:59,Delivered
,161,,,Delivered,2024-10-08 10:55:59,Delivered
,161,,,Delivered,2024-10-08 10:55:59,Delivered
,162,,,In Transit,2024-05-25 20:26:14,In Transit
,163,,,Shipped,2024-05-25 19:15:16,Shipped
,163,,,Shipped,2024-05-25 19:15:16,Shipped
,163,,,Shipped,2024-05-25 19:15:16,Shipped
,164,,,Shipped,2024-07-31 18:39:21,Shipped
,165,,,Delivered,2024-10-23 19:53:13,Delivered
,165,,,Delivered,2024-10-23 19:53:13,Delivered
,165,,,Delivered,2024-10-23 19:53:13,Delivered
,166,,,In Transit,2024-05-27 18:53:50,In Transit
,167,,,In Transit,2024-02-22 07:11:50,In Transit
,167,,,In Transit,2024-02-22 07:11:50,In Transit
,167,,,In Transit,2024-02-22 07:11:50,In Transit
,168,,,In Transit,2024-01-21 23:45:54,In Transit
,169,,,In Transit,2024-11-16 00:17:03,In Transit
,169,,,In Transit,2024-11-16 00:17:03,In Transit
,170,,,Delivered,2024-02-09 15:49:51,Delivered
,170,,,Delivered,2024-02-09 15:49:51,Delivered
,171,,,In Transit,2024-10-08 23:14:41,In Transit
,171,,,In Transit,2024-10-08 23:14:41,In Transit
,171,,,In Transit,2024-10-08 23:14:41,In Transit
,172,,,Shipped,2024-03-04 00:08:20,Shipped
,172,,,Shipped,2024-03-04 00:08:20,Shipped
,173,,,In Transit,2024-04-08 14:19:15,In Transit
,174,,,In Transit,2024-06-29 19:46:00,In Transit
,175,,,Delivered,2024-07-24 22:06:01,Delivered
,176,,,Shipped,2024-12-03 07:12:11,Shipped
,176,,,Shipped,2024-12-03 07:12:11,Shipped
,176,,,Shipped,2024-12-03 07:12:11,Shipped
,177,,,Shipped,2024-06-23 20:18:00,Shipped
,178,,,Delivered,2024-08-10 14:09:27,Delivered
,179,,,Shipped,2024-01-11 06:40:30,Shipped
,180,,,Delivered,2024-12-05 07:04:03,Delivered
,181,,,In Transit,2024-11-12 22:26:25,In Transit
,181,,,In Transit,2024-11-12 22:26:25,In Transit
,181,,,In Transit,2024-11-12 22:26:25,In Transit
,182,,,In Transit,2024-09-05 02:18:03,In Transit
,183,,,In Transit,2024-11-28 22:59:06,In Transit
,184,,,Delivered,2024-03-11 09:19:58,Delivered
,185,,,Shipped,2024-05-10 14:51:25,Shipped
,185,,,Shipped,2024-05-10 14:51:25,Shipped
,186,,,In Transit,2024-05-04 17:32:57,In Transit
,187,,,In Transit,2024-03-31 07:23:56,In Transit
,187,,,In Transit,2024-03-31 07:23:56,In Transit
,187,,,In Transit,2024-03-31 07:23:56,In Transit
,188,,,Shipped,2024-04-23 15:11:21,Shipped
,188,,,Shipped,2024-04-23 15:11:21,Shipped
,189,,,Delivered,2024-02-05 13:10:21,Delivered
,190,,,In Transit,2024-03-13 21:49:27,In Transit
,190,,,In Transit,2024-03-13 21:49:27,In Transit
,191,,,In Transit,2024-07-26 05:29:54,In Transit
,191,,,In Transit,2024-07-26 05:29:54,In Transit
,192,,,Delivered,2024-12-15 14:34:12,Delivered
,193,,,Delivered,2024-11-24 04:20:09,Delivered
,193,,,Delivered,2024-11-24 04:20:09,Delivered
,194,,,Shipped,2024-05-05 17:05:02,Shipped
,195,,,Delivered,2024-06-05 22:14:26,Delivered
,195,,,Delivered,2024-06-05 22:14:26,Delivered
,195,,,Delivered,2024-06-05 22:14:26,Delivered
,196,,,Delivered,2024-02-22 12:07:56,Delivered
,196,,,Delivered,2024-02-22 12:07:56,Delivered
,196,,,Delivered,2024-02-22 12:07:56,Delivered
,197,,,In Transit,2024-12-04 21:49:27,In Transit
,197,,,In Transit,2024-12-04 21:49:27,In Transit
,198,,,In Transit,2024-06-09 04:07:43,In Transit
,199,,,Shipped,2024-02-21 06:28:43,Shipped
,200,,,Delivered,2024-08-18 02:32:19,Delivered
,201,,,In Transit,2024-07-01 00:33:45,In Transit
,201,,,In Transit,2024-07-01 00:33:45,In Transit
,201,,,In Transit,2024-07-01 00:33:45,In Transit
,202,,,Shipped,2024-12-08 01:46:49,Shipped
,203,,,Delivered,2024-09-26 14:19:14,Delivered
,203,,,Delivered,2024-09-26 14:19:14,Delivered
,203,,,Delivered,2024-09-26 14:19:14,Delivered
,204,,,Delivered,2024-03-14 03:01:26,Delivered
,204,,,Delivered,2024-03-14 03:01:26,Delivered
,204,,,Delivered,2024-03-14 03:01:26,Delivered
,205,,,Delivered,2024-04-22 21:02:32,Delivered
,205,,,Delivered,2024-04-22 21:02:32,Delivered
,206,,,Delivered,2024-11-05 07:42:32,Delivered
,207,,,Shipped,2024-11-08 15:33:37,Shipped
,207,,,Shipped,2024-11-08 15:33:37,Shipped
,208,,,Shipped,2024-12-14 20:30:11,Shipped
,209,,,In Transit,2024-10-06 08:34:05,In Transit
,210,,,In Transit,2024-03-20 19:22:38,In Transit
,210,,,In Transit,2024-03-20 19:22:38,In Transit
,211,,,In Transit,2024-09-02 04:20:49,In Transit
,211,,,In Transit,2024-09-02 04:20:49,In Transit
,211,,,In Transit,2024-09-02 04:20:49,In Transit
,212,,,In Transit,2024-01-08 01:55:20,In Transit
,212,,,In Transit,2024-01-08 01:55:20,In Transit
,212,,,In Transit,2024-01-08 01:55:20,In Transit
,213,,,Shipped,2024-05-31 04:38:15,Shipped
,213,,,Shipped,2024-05-31 04:38:15,Shipped
,214,,,Delivered,2024-12-03 00:51:19,Delivered
,215,,,Delivered,2024-01-27 00:30:51,Delivered
,215,,,Delivered,2024-01-27 00:30:51,Delivered
,215,,,Delivered,2024-01-27 00:30:51,Delivered
,216,,,Shipped,2024-06-26 00:44:23,Shipped
,216,,,Shipped,2024-06-26 00:44:23,Shipped
,216,,,Shipped,2024-06-26 00:44:23,Shipped
,217,,,Delivered,2024-04-23 14:51:29,Delivered
,218,,,Shipped,2024-01-05 23:48:56,Shipped
,218,,,Shipped,2024-01-05 23:48:56,Shipped
,219,,,In Transit,2024-06-02 07:20:48,In Transit
,219,,,In Transit,2024-06-02 07:20:48,In Transit
,220,,,Delivered,2024-06-27 09:21:47,Delivered
,221,,,Delivered,2024-10-26 17:47:59,Delivered
,221,,,Delivered,2024-10-26 17:47:59,Delivered
,222,,,Delivered,2024-11-18 15:05:54,Delivered
,222,,,Delivered,2024-11-18 15:05:54,Delivered
,222,,,Delivered,2024-11-18 15:05:54,Delivered
,223,,,Delivered,2024-11-03 05:52:35,Delivered
,223,,,Delivered,2024-11-03 05:52:35,Delivered
,223,,,Delivered,2024-11-03 05:52:35,Delivered
,224,,,Shipped,2024-10-05 09:42:31,Shipped
,224,,,Shipped,2024-10-05 09:42:31,Shipped
,224,,,Shipped,2024-10-05 09:42:31,Shipped
,225,,,Delivered,2024-11-28 22:12:38,Delivered
,225,,,Delivered,2024-11-28 22:12:38,Delivered
,226,,,Shipped,2024-05-04 10:05:29,Shipped
,227,,,Delivered,2024-05-28 01:25:35,Delivered
,227,,,Delivered,2024-05-28 01:25:35,Delivered
,227,,,Delivered,2024-05-28 01:25:35,Delivered
,228,,,Delivered,2024-08-29 22:34:46,Delivered
,229,,,Delivered,2024-03-18 03:24:07,Delivered
,229,,,Delivered,2024-03-18 03:24:07,Delivered
,229,,,Delivered,2024-03-18 03:24:07,Delivered
,230,,,Shipped,2024-01-13 00:28:44,Shipped
,230,,,Shipped,2024-01-13 00:28:44,Shipped
,230,,,Shipped,2024-01-13 00:28:44,Shipped
,231,,,Shipped,2024-03-03 23:35:20,Shipped
,231,,,Shipped,2024-03-03 23:35:20,Shipped
,232,,,In Transit,2024-02-04 10:58:55,In Transit
,233,,,Shipped,2024-10-02 10:05:32,Shipped
,234,,,Delivered,2024-07-29 12:27:45,Delivered
,234,,,Delivered,2024-07-29 12:27:45,Delivered
,235,,,Delivered,2024-06-22 00:13:54,Delivered
,235,,,Delivered,2024-06-22 00:13:54,Delivered
,236,,,In Transit,2024-08-27 10:21:13,In Transit
,236,,,In Transit,2024-08-27 10:21:13,In Transit
,237,,,In Transit,2024-01-07 22:11:29,In Transit
,237,,,In Transit,2024-01-07 22:11:29,In Transit
,237,,,In Transit,2024-01-07 22:11:29,In Transit
,238,,,In Transit,2024-08-07 05:42:44,In Transit
,238,,,In Transit,2024-08-07 05:42:44,In Transit
,239,,,Delivered,2024-08-25 18:45:26,Delivered
,239,,,Delivered,2024-08-25 18:45:26,Delivered
,240,,,Delivered,2024-12-05 17:35:08,Delivered
,240,,,Delivered,2024-12-05 17:35:08,Delivered
,240,,,Delivered,2024-12-05 17:35:08,Delivered
,241,,,Shipped,2024-12-09 14:51:14,Shipped
,241,,,Shipped,2024-12-09 14:51:14,Shipped
,242,,,Shipped,2024-08-12 19:32:06,Shipped
,242,,,Shipped,2024-08-12 19:32:06,Shipped
,243,,,In Transit,2024-04-16 12:55:47,In Transit
,244,,,Shipped,2024-09-14 19:10:33,Shipped
,245,,,Delivered,2024-01-11 17:21:46,Delivered
,246,,,In Transit,2024-10-09 16:57:24,In Transit
,246,,,In Transit,2024-10-09 16:57:24,In Transit
,246,,,In Transit,2024-10-09 16:57:24,In Transit
,247,,,Shipped,2024-06-23 16:27:47,Shipped
,247,,,Shipped,2024-06-23 16:27:47,Shipped
,248,,,Delivered,2024-10-05 13:51:19,Delivered
,249,,,Shipped,2024-07-13 09:55:52,Shipped
,249,,,Shipped,2024-07-13 09:55:52,Shipped
,250,,,Shipped,2024-09-16 01:58:14,Shipped
,250,,,Shipped,2024-09-16 01:58:14,Shipped
,251,,,Shipped,2024-09-13 23:31:59,Shipped
,252,,,Shipped,2024-09-18 00:29:26,Shipped
,253,,,Delivered,2024-08-13 14:23:26,Delivered
,253,,,Delivered,2024-08-13 14:23:26,Delivered
