BehaviorID,CustomerID,ProductID,Timestamp,ClickSource,PageModule,ActionType,DwellTimeSeconds,DwellTimeCategory
65,4920,7393,2024-07-30 08:13:35.375653,search,,view,136,t5
66,3317,7649,2024-07-17 00:33:35.375653,search,,purchase,283,t5
67,3395,9105,2024-07-22 05:13:35.375653,home,specification,add_to_cart,232,t5
68,4515,2223,2024-07-13 08:51:35.375653,cart,bottom,view,184,t5
69,851,8534,2024-07-30 05:01:35.375653,category,,purchase,131,t5
70,4125,5744,2024-07-28 17:36:35.375653,category,comments,add_to_cart,196,t5
71,4922,262,2024-07-19 04:00:35.375653,category,specification,purchase,123,t5
72,1220,4532,2024-07-27 09:47:35.375653,cart,bottom,add_to_cart,102,t4
73,542,5720,2024-08-04 10:54:35.375653,cart,,add_to_cart,124,t5
74,1798,2583,2024-07-29 04:46:35.375653,home,specification,purchase,52,t3
75,2271,6688,2024-07-15 13:56:35.375653,search,bottom,purchase,185,t5
76,2344,5919,2024-08-03 11:02:35.375653,search,,purchase,167,t5
77,3270,1017,2024-07-22 19:32:35.376682,search,bottom,purchase,153,t5
78,317,3206,2024-07-25 09:53:35.376682,search,bottom,purchase,41,t3
79,3757,6511,2024-07-24 11:53:35.376682,home,comments,add_to_cart,65,t4
80,1530,4818,2024-08-10 19:34:35.376682,sale,,purchase,124,t5
81,2867,6416,2024-07-16 15:53:35.376682,cart,comments,view,38,t3
82,2922,6964,2024-07-13 17:26:35.376682,sale,,view,202,t5
83,3937,3837,2024-07-28 06:37:35.376682,sale,specification,purchase,10,t2
84,4196,5906,2024-08-02 07:38:35.376682,cart,,add_to_cart,157,t5
85,1898,5732,2024-07-22 16:21:35.376682,cart,comments,view,189,t5
86,3572,4716,2024-08-05 03:08:35.376682,sale,specification,purchase,256,t5
87,534,3354,2024-07-18 15:08:35.376682,search,specification,add_to_cart,195,t5
88,4003,9968,2024-07-31 01:02:35.376682,category,specification,add_to_cart,199,t5
89,3673,6529,2024-08-03 14:11:35.376682,cart,,purchase,94,t4
90,4792,3997,2024-07-13 23:46:35.376682,category,specification,view,194,t5
91,808,6185,2024-08-05 16:15:35.376682,cart,bottom,view,158,t5
92,22,9000,2024-08-10 14:41:35.376682,cart,,view,268,t5
93,573,6691,2024-07-16 03:39:35.376682,home,comments,purchase,124,t5
94,4230,7873,2024-07-16 11:31:35.376682,search,specification,purchase,254,t5
95,1395,3364,2024-07-12 09:22:35.376682,home,specification,view,39,t3
96,1082,1062,2024-07-19 17:27:35.376682,home,bottom,add_to_cart,147,t5
97,949,9975,2024-07-14 07:51:35.376682,search,,add_to_cart,274,t5
98,810,1627,2024-08-05 06:37:35.376682,home,specification,purchase,231,t5
99,2113,1045,2024-08-05 06:42:35.376682,search,comments,view,187,t5
100,36,5369,2024-07-24 20:58:35.376682,sale,,view,66,t4
101,2980,7837,2024-07-29 04:42:35.376682,sale,,add_to_cart,111,t4
102,4909,3391,2024-07-23 16:38:35.376682,sale,,purchase,60,t3
103,3375,2528,2024-08-07 15:28:35.376682,category,,view,153,t5
104,3627,3282,2024-08-07 01:44:35.376682,category,bottom,add_to_cart,176,t5
105,439,7721,2024-08-05 14:37:35.376682,category,bottom,add_to_cart,229,t5
106,1659,8316,2024-07-15 08:57:35.376682,home,specification,add_to_cart,217,t5
107,4755,8569,2024-07-22 11:24:35.376682,cart,bottom,view,185,t5
108,150,620,2024-08-01 06:41:35.376682,home,,add_to_cart,78,t4
109,3454,5561,2024-07-24 03:42:35.376682,category,specification,add_to_cart,161,t5
110,374,6967,2024-07-27 10:03:35.376682,category,,purchase,229,t5
111,4791,9547,2024-07-19 06:31:35.376682,category,bottom,view,163,t5
112,2351,202,2024-08-11 10:29:35.376682,category,bottom,add_to_cart,24,t2
113,3989,980,2024-07-31 05:09:35.376682,sale,comments,view,83,t4
114,4502,8424,2024-07-21 10:54:35.376682,sale,bottom,add_to_cart,75,t4
115,4562,6765,2024-08-04 07:56:35.376682,cart,comments,add_to_cart,73,t4
116,3260,9612,2024-07-29 03:41:35.376682,search,,view,263,t5
117,680,7989,2024-07-14 15:12:35.376682,category,,purchase,285,t5
118,3159,5580,2024-07-25 03:09:35.376682,category,,add_to_cart,270,t5
119,1466,7795,2024-07-25 22:21:35.376682,cart,,view,170,t5
120,1962,837,2024-08-04 06:17:35.376682,home,,add_to_cart,234,t5
121,3045,1732,2024-07-24 06:34:35.376682,cart,bottom,view,258,t5
122,4413,7770,2024-07-24 12:12:35.376682,sale,,view,245,t5
123,411,2092,2024-07-21 23:58:35.376682,home,specification,view,291,t5
124,1063,8917,2024-07-18 19:30:35.376682,home,comments,view,254,t5
125,4474,7314,2024-07-31 02:57:35.376682,search,comments,view,19,t2
126,1663,7290,2024-08-02 21:11:35.376682,cart,specification,view,85,t4
127,2122,1879,2024-08-10 22:58:35.376682,category,bottom,view,92,t4
128,687,2028,2024-08-02 23:49:35.376682,search,specification,add_to_cart,183,t5
129,2069,3068,2024-07-29 02:44:35.376682,search,,add_to_cart,238,t5
130,173,527,2024-07-12 02:37:35.376682,home,specification,view,223,t5
131,3571,7303,2024-07-19 22:02:35.376682,search,comments,view,13,t2
132,4716,4916,2024-07-28 11:06:35.376682,search,specification,purchase,206,t5
133,980,3159,2024-07-15 22:50:35.376682,search,bottom,add_to_cart,106,t4
134,3039,5075,2024-07-12 10:41:35.376682,search,bottom,view,50,t3
135,2714,3032,2024-07-23 02:40:35.376682,category,specification,view,16,t2
136,1255,8740,2024-07-18 02:44:35.376682,search,comments,purchase,206,t5
137,1710,9746,2024-08-03 20:01:35.376682,sale,bottom,add_to_cart,161,t5
138,4591,4510,2024-08-08 10:43:35.376682,category,comments,view,106,t4
139,4385,1621,2024-07-14 20:52:35.376682,category,,add_to_cart,88,t4
140,34,96,2024-07-22 12:05:35.376682,cart,,add_to_cart,111,t4
141,320,7652,2024-07-24 06:15:35.376682,category,,view,220,t5
142,1944,438,2024-08-10 16:51:35.376682,cart,specification,add_to_cart,92,t4
143,3874,618,2024-07-30 19:26:35.376682,category,,purchase,60,t3
144,1300,368,2024-07-12 16:07:35.376682,category,specification,add_to_cart,124,t5
145,1077,9732,2024-07-14 06:54:35.376682,category,specification,purchase,94,t4
146,3928,1034,2024-07-19 20:42:35.376682,sale,specification,purchase,166,t5
147,3742,8928,2024-07-16 09:16:35.376682,home,,purchase,190,t5
148,1308,8498,2024-07-18 08:23:35.376682,cart,bottom,add_to_cart,13,t2
149,4829,4724,2024-07-21 09:27:35.376682,category,specification,add_to_cart,9,t1
150,1378,3147,2024-07-13 02:02:35.376682,home,comments,add_to_cart,115,t4
151,1,7006,2024-07-21 02:16:35.376682,category,comments,add_to_cart,140,t5
152,2985,7769,2024-08-08 19:42:35.376682,home,comments,view,99,t4
153,2434,3501,2024-07-29 21:05:35.376682,search,specification,view,34,t3
154,2436,18,2024-07-11 20:32:35.376682,search,specification,purchase,214,t5
155,3086,6288,2024-08-11 09:54:35.376682,sale,,add_to_cart,70,t4
156,4762,5550,2024-07-27 14:10:35.376682,home,,view,58,t3
157,4244,655,2024-08-03 07:48:35.376682,cart,bottom,add_to_cart,228,t5
158,2986,4341,2024-07-26 14:02:35.376682,home,specification,purchase,39,t3
159,8,3140,2024-07-26 08:18:35.376682,category,comments,purchase,226,t5
160,3791,5698,2024-08-09 18:58:35.376682,sale,,purchase,142,t5
161,4214,9814,2024-08-01 08:49:35.376682,search,,view,61,t4
162,523,198,2024-07-20 09:03:35.376682,home,,view,184,t5
163,2066,4925,2024-07-28 02:49:35.376682,home,bottom,view,88,t4
164,1795,7194,2024-08-07 06:05:35.376682,category,bottom,purchase,69,t4
165,4450,2122,2024-07-12 00:46:35.376682,cart,specification,view,143,t5
166,1781,5388,2024-07-13 01:24:35.376682,category,comments,add_to_cart,247,t5
167,2974,557,2024-07-16 17:10:35.376682,home,specification,add_to_cart,233,t5
168,4419,7816,2024-08-01 04:20:35.376682,cart,bottom,purchase,148,t5
169,1665,8206,2024-07-27 07:35:35.376682,sale,comments,purchase,183,t5
170,960,7234,2024-07-14 11:43:35.376682,sale,,purchase,226,t5
171,853,4382,2024-07-19 12:52:35.376682,cart,bottom,view,154,t5
172,4947,4169,2024-08-11 01:03:35.376682,home,bottom,purchase,159,t5
173,1359,8881,2024-07-17 03:11:35.376682,cart,specification,add_to_cart,22,t2
174,4258,643,2024-08-05 16:57:35.376682,sale,,view,174,t5
175,3558,3940,2024-08-08 07:08:35.376682,cart,bottom,view,244,t5
176,3692,8553,2024-07-16 03:32:35.376682,category,,view,110,t4
177,1290,932,2024-08-03 06:44:35.376682,category,comments,view,288,t5
178,1651,1631,2024-08-10 05:35:35.376682,search,specification,purchase,292,t5
179,4367,7836,2024-07-14 19:01:35.376682,cart,,view,155,t5
180,4173,6867,2024-08-02 20:31:35.376682,sale,bottom,view,100,t4
181,4020,8881,2024-08-07 02:35:35.376682,sale,specification,add_to_cart,121,t5
182,4005,9278,2024-07-24 19:46:35.376682,search,specification,add_to_cart,127,t5
183,2396,3447,2024-08-11 01:43:35.376682,cart,,view,190,t5
184,473,1772,2024-07-23 11:06:35.376682,home,specification,purchase,72,t4
185,4701,1308,2024-07-30 06:30:35.376682,category,comments,view,113,t4
186,860,9829,2024-07-12 22:40:35.376682,search,specification,purchase,278,t5
187,4941,7593,2024-07-17 02:56:35.376682,category,,add_to_cart,132,t5
188,1919,7772,2024-08-01 07:59:35.376682,category,comments,add_to_cart,77,t4
189,2185,3991,2024-08-02 16:09:35.376682,home,comments,add_to_cart,16,t2
190,3473,3791,2024-08-05 09:16:35.376682,category,specification,purchase,77,t4
191,4169,4306,2024-07-27 14:50:35.376682,sale,,view,102,t4
192,1501,5606,2024-08-08 03:35:35.376682,category,comments,view,145,t5
193,1576,1222,2024-08-07 17:18:35.376682,category,,add_to_cart,246,t5
194,4718,2979,2024-07-22 15:26:35.376682,search,,add_to_cart,298,t5
195,3272,7669,2024-07-19 06:39:35.376682,category,,purchase,279,t5
196,3988,7953,2024-07-17 07:00:35.376682,home,comments,view,245,t5
197,1247,3563,2024-08-01 07:59:35.376682,cart,,view,86,t4
198,3832,1259,2024-07-28 09:37:35.376682,search,comments,view,83,t4
199,2729,4587,2024-08-01 19:44:35.376682,search,bottom,purchase,139,t5
200,4095,3047,2024-08-05 09:09:35.376682,home,bottom,purchase,255,t5
201,2519,9307,2024-08-07 00:03:35.376682,search,comments,purchase,145,t5
202,2542,741,2024-07-15 22:49:35.376682,home,specification,purchase,73,t4
203,3041,8563,2024-07-31 23:34:35.376682,sale,bottom,add_to_cart,10,t2
204,1183,603,2024-07-18 07:20:35.376682,sale,,purchase,143,t5
205,981,1024,2024-08-07 13:31:35.376682,home,specification,purchase,143,t5
206,2246,2121,2024-07-16 22:39:35.376682,home,comments,add_to_cart,170,t5
207,949,3821,2024-07-13 15:03:35.376682,search,comments,view,69,t4
208,4576,7741,2024-08-02 04:04:35.376682,search,specification,purchase,147,t5
209,3094,3388,2024-08-06 10:10:35.376682,cart,comments,add_to_cart,208,t5
210,240,8832,2024-07-29 13:51:35.377680,category,comments,view,138,t5
211,3303,5823,2024-07-25 04:57:35.377680,search,specification,add_to_cart,46,t3
212,4509,347,2024-08-03 03:20:35.377680,category,comments,add_to_cart,288,t5
213,4266,9084,2024-07-12 03:35:35.377680,home,specification,view,221,t5
214,1880,4677,2024-08-09 20:24:35.377680,search,comments,view,196,t5
215,809,4331,2024-07-18 22:01:35.377680,home,bottom,add_to_cart,99,t4
216,2647,3902,2024-08-01 12:07:35.377680,sale,comments,add_to_cart,206,t5
217,664,1617,2024-07-21 10:23:35.377680,search,comments,add_to_cart,249,t5
218,4990,618,2024-07-19 23:26:35.377680,cart,,add_to_cart,224,t5
219,2426,5264,2024-08-04 00:35:35.377680,cart,bottom,purchase,35,t3
220,2623,4395,2024-07-29 00:53:35.377680,sale,specification,view,251,t5
221,4778,3857,2024-08-01 15:33:35.377680,home,specification,add_to_cart,216,t5
222,3006,3285,2024-08-07 17:18:35.377680,home,,purchase,15,t2
223,4093,4890,2024-08-02 09:48:35.377680,category,comments,view,166,t5
224,4306,1861,2024-08-10 22:54:35.377680,search,,view,146,t5
225,2285,4199,2024-07-23 20:58:35.377680,search,specification,add_to_cart,201,t5
226,1739,7287,2024-07-25 10:14:35.377680,cart,bottom,add_to_cart,88,t4
227,2902,7655,2024-08-05 11:31:35.377680,cart,bottom,view,36,t3
228,1750,1078,2024-07-28 02:20:35.377680,cart,specification,purchase,37,t3
229,4721,3627,2024-07-29 14:47:35.377680,search,,add_to_cart,246,t5
230,3399,8439,2024-08-10 03:39:35.377680,cart,comments,purchase,221,t5
231,4411,6237,2024-08-03 17:47:35.377680,home,specification,view,81,t4
232,3928,1526,2024-07-15 12:42:35.377680,category,bottom,view,178,t5
233,4304,9097,2024-07-20 05:45:35.377680,cart,,purchase,172,t5
234,553,5905,2024-07-14 18:29:35.377680,search,bottom,view,227,t5
235,2148,1006,2024-07-28 20:01:35.377680,sale,bottom,purchase,288,t5
236,3021,5546,2024-07-21 04:38:35.377680,sale,comments,add_to_cart,249,t5
237,3308,997,2024-07-17 14:57:35.377680,cart,specification,purchase,269,t5
238,1235,7281,2024-07-19 17:25:35.377680,sale,specification,purchase,156,t5
239,2485,4386,2024-07-29 01:38:35.377680,search,bottom,add_to_cart,179,t5
240,576,4188,2024-07-13 22:37:35.377680,category,comments,purchase,91,t4
241,2942,4872,2024-08-01 00:01:35.377680,category,,view,121,t5
242,488,6904,2024-08-07 05:38:35.377680,sale,bottom,add_to_cart,111,t4
243,2116,7832,2024-08-01 11:03:35.377680,search,bottom,add_to_cart,240,t5
244,140,7117,2024-07-12 14:14:35.377680,category,,add_to_cart,286,t5
245,1161,5150,2024-08-01 21:31:35.377680,sale,specification,purchase,169,t5
246,4442,9683,2024-08-03 22:45:35.377680,search,,purchase,36,t3
247,2464,5152,2024-07-26 22:56:35.377680,category,,purchase,244,t5
248,4680,709,2024-08-11 16:21:35.377680,cart,bottom,purchase,103,t4
249,2587,7851,2024-07-30 17:44:35.377680,cart,specification,purchase,103,t4
250,1285,1245,2024-07-29 00:57:35.377680,sale,,purchase,43,t3
251,3109,2482,2024-07-31 07:34:35.377680,category,specification,purchase,257,t5
252,239,5121,2024-08-11 15:47:35.377680,category,bottom,purchase,179,t5
253,4388,1926,2024-07-14 22:46:35.377680,cart,bottom,view,138,t5
254,3790,4215,2024-07-31 22:45:35.377680,home,specification,add_to_cart,32,t3
255,2759,8586,2024-08-09 23:07:35.377680,home,comments,view,10,t2
256,3403,7639,2024-07-20 11:41:35.377680,sale,comments,purchase,51,t3
257,4217,7849,2024-08-06 00:28:35.377680,search,comments,add_to_cart,267,t5
258,2968,2599,2024-07-18 21:34:35.377680,home,bottom,add_to_cart,46,t3
259,2898,4020,2024-07-29 17:17:35.377680,sale,comments,add_to_cart,121,t5
260,460,5380,2024-07-30 10:36:35.377680,home,specification,add_to_cart,157,t5
261,2735,2183,2024-07-29 00:29:35.377680,sale,,add_to_cart,53,t3
262,2073,5984,2024-07-24 17:55:35.377680,cart,,purchase,231,t5
263,1688,9021,2024-07-24 02:33:35.377680,category,comments,add_to_cart,260,t5
264,1987,5398,2024-08-07 16:07:35.377680,search,,add_to_cart,81,t4
265,3322,1083,2024-07-31 10:31:35.377680,search,specification,view,151,t5
266,1732,2950,2024-07-22 13:18:35.377680,search,specification,purchase,50,t3
267,4392,9527,2024-07-24 19:20:35.377680,category,comments,view,233,t5
268,738,237,2024-07-20 12:23:35.377680,search,comments,add_to_cart,104,t4
269,3172,2148,2024-08-09 02:52:35.377680,category,specification,add_to_cart,109,t4
270,3185,5453,2024-07-19 06:28:35.377680,search,bottom,view,297,t5
271,4804,6744,2024-07-16 16:40:35.377680,category,comments,view,111,t4
272,3965,7725,2024-07-16 15:37:35.377680,sale,specification,view,182,t5
273,3685,2819,2024-07-28 19:56:35.377680,search,bottom,purchase,127,t5
274,1852,3524,2024-08-11 10:31:35.377680,sale,,view,186,t5
275,1788,8425,2024-08-03 06:54:35.377680,sale,,view,146,t5
276,3696,1438,2024-07-18 15:50:35.377680,cart,comments,purchase,221,t5
277,231,4643,2024-07-17 12:45:35.377680,cart,bottom,add_to_cart,202,t5
278,4217,5859,2024-07-12 05:07:35.377680,sale,,purchase,103,t4
279,2537,1509,2024-07-23 15:54:35.377680,home,,purchase,135,t5
280,732,6053,2024-07-24 05:00:35.377680,cart,bottom,add_to_cart,117,t4
281,378,2074,2024-07-14 08:41:35.377680,search,specification,add_to_cart,95,t4
282,1330,3305,2024-07-13 01:08:35.377680,sale,bottom,add_to_cart,210,t5
283,3302,7466,2024-07-31 11:55:35.377680,category,comments,view,155,t5
284,4131,7935,2024-08-01 14:23:35.377680,sale,,purchase,140,t5
285,3871,4082,2024-08-10 20:38:35.377680,cart,specification,purchase,144,t5
286,1114,2101,2024-07-12 23:25:35.377680,home,comments,add_to_cart,299,t5
287,3126,7488,2024-07-31 03:50:35.377680,home,,add_to_cart,74,t4
288,3546,7718,2024-07-26 05:10:35.377680,search,bottom,view,198,t5
289,738,7958,2024-08-04 04:33:35.377680,sale,specification,add_to_cart,269,t5
290,799,3336,2024-07-31 05:53:35.377680,sale,specification,purchase,296,t5
291,1,7907,2024-07-20 11:04:35.377680,category,comments,add_to_cart,24,t2
292,1679,5797,2024-07-13 13:49:35.377680,category,specification,view,28,t3
293,4169,9284,2024-07-12 22:19:35.377680,home,specification,purchase,43,t3
294,3513,4139,2024-07-22 14:36:35.377680,home,,view,255,t5
295,2516,8149,2024-07-12 17:08:35.377680,category,bottom,view,214,t5
296,2412,9082,2024-08-01 10:45:35.377680,sale,,add_to_cart,197,t5
297,2819,2721,2024-08-05 01:37:35.377680,category,comments,view,67,t4
298,428,9808,2024-08-04 14:38:35.377680,category,bottom,view,66,t4
299,1455,6379,2024-07-29 02:24:35.377680,cart,comments,purchase,210,t5
300,4668,8183,2024-07-20 15:05:35.377680,home,specification,add_to_cart,26,t3
301,77,612,2024-07-13 07:57:35.377680,search,comments,purchase,69,t4
302,846,1434,2024-07-31 05:25:35.377680,cart,,view,51,t3
303,958,179,2024-07-31 21:38:35.377680,sale,bottom,purchase,59,t3
304,2565,6491,2024-08-11 04:27:35.377680,category,comments,add_to_cart,206,t5
305,4276,9998,2024-07-27 01:54:35.377680,home,specification,view,131,t5
306,2709,5564,2024-07-29 18:42:35.377680,category,bottom,view,204,t5
307,3309,9095,2024-07-15 23:01:35.377680,home,specification,add_to_cart,183,t5
308,3919,3759,2024-07-17 22:12:35.377680,home,bottom,add_to_cart,19,t2
309,2434,7365,2024-08-01 02:28:35.377680,search,bottom,purchase,141,t5
310,1642,1074,2024-07-26 11:34:35.377680,category,,view,35,t3
311,872,2266,2024-07-22 14:13:35.377680,cart,specification,view,116,t4
312,3327,5151,2024-07-28 18:01:35.377680,home,,add_to_cart,172,t5
313,1934,2010,2024-07-12 22:35:35.377680,category,specification,add_to_cart,234,t5
314,4051,4266,2024-07-25 07:04:35.377680,search,specification,add_to_cart,275,t5
315,4530,9850,2024-08-11 07:22:35.377680,home,comments,purchase,23,t2
316,3041,9849,2024-08-03 09:42:35.377680,home,comments,add_to_cart,36,t3
317,4073,1059,2024-07-22 18:15:35.377680,sale,,purchase,164,t5
318,3399,9452,2024-07-23 05:02:35.377680,cart,bottom,view,26,t3
319,169,962,2024-07-14 10:31:35.377680,search,comments,add_to_cart,46,t3
320,2501,5937,2024-07-27 08:20:35.377680,search,comments,purchase,292,t5
321,1885,385,2024-08-05 06:59:35.377680,category,,purchase,181,t5
322,3200,4443,2024-07-12 00:41:35.377680,home,bottom,view,183,t5
323,399,490,2024-08-03 05:22:35.377680,home,comments,view,232,t5
324,3662,5229,2024-08-07 11:22:35.377680,cart,specification,purchase,44,t3
325,4880,1661,2024-07-16 12:34:35.377680,cart,,view,264,t5
326,1453,8609,2024-07-16 20:32:35.377680,search,specification,purchase,56,t3
327,2220,9780,2024-08-11 08:50:35.377680,home,comments,view,209,t5
328,2862,1113,2024-07-19 20:48:35.377680,cart,specification,purchase,136,t5
329,1164,6954,2024-07-23 17:02:35.377680,category,comments,add_to_cart,18,t2
330,4834,2116,2024-08-09 01:36:35.377680,category,,view,58,t3
331,3791,2754,2024-08-07 11:29:35.377680,home,,add_to_cart,293,t5
332,3694,1596,2024-07-13 09:14:35.377680,home,comments,add_to_cart,251,t5
333,3516,7184,2024-08-11 11:30:35.377680,search,,view,25,t3
334,45,9162,2024-07-18 01:53:35.377680,search,specification,view,35,t3
335,4322,8834,2024-07-19 11:02:35.377680,sale,comments,view,96,t4
336,2036,1510,2024-07-11 17:25:35.377680,home,comments,add_to_cart,138,t5
337,385,2863,2024-07-29 22:26:35.377680,sale,,add_to_cart,193,t5
338,3502,9406,2024-07-12 10:44:35.377680,cart,comments,purchase,252,t5
339,1954,9956,2024-07-20 04:44:35.377680,home,bottom,view,260,t5
340,392,1561,2024-08-01 20:41:35.377680,category,bottom,view,250,t5
341,2017,9467,2024-08-03 05:20:35.378677,home,specification,add_to_cart,17,t2
342,4752,4738,2024-07-16 08:52:35.378677,home,,purchase,191,t5
343,2298,9377,2024-07-17 22:08:35.378677,home,bottom,view,55,t3
344,3254,162,2024-08-06 22:59:35.378677,search,specification,add_to_cart,288,t5
345,2831,2707,2024-07-13 08:45:35.378677,cart,,purchase,72,t4
346,3648,6272,2024-07-12 19:27:35.378677,home,bottom,add_to_cart,96,t4
347,1833,6075,2024-08-07 11:53:35.378677,category,comments,add_to_cart,201,t5
348,4289,7611,2024-07-23 22:35:35.378677,sale,comments,purchase,72,t4
349,1686,9381,2024-07-17 19:06:35.378677,category,specification,add_to_cart,234,t5
350,2289,8968,2024-08-06 00:01:35.378677,sale,,view,159,t5
351,2006,911,2024-07-19 10:44:35.378677,cart,comments,view,66,t4
352,1569,4721,2024-07-24 20:40:35.378677,cart,bottom,view,158,t5
353,1974,3448,2024-07-21 14:20:35.378677,category,,purchase,268,t5
354,4479,2910,2024-08-02 21:11:35.378677,search,comments,purchase,101,t4
355,2088,5902,2024-07-14 00:55:35.378677,sale,,purchase,123,t5
356,987,7972,2024-08-10 04:59:35.378677,cart,comments,view,299,t5
357,4089,8211,2024-07-18 02:36:35.378677,home,specification,purchase,82,t4
358,3376,6200,2024-08-05 07:39:35.378677,category,,purchase,87,t4
359,3947,8721,2024-07-30 03:54:35.378677,home,specification,purchase,286,t5
360,1386,2090,2024-07-21 17:46:35.378677,category,bottom,purchase,202,t5
361,4628,1269,2024-07-28 21:57:35.378677,search,bottom,add_to_cart,147,t5
362,3870,1064,2024-08-09 05:31:35.378677,category,comments,view,79,t4
363,3596,5809,2024-08-06 09:19:35.378677,sale,,add_to_cart,207,t5
364,585,2031,2024-07-20 19:10:35.378677,sale,,add_to_cart,103,t4
365,4123,964,2024-07-12 01:51:35.378677,home,specification,add_to_cart,213,t5
