OrderItemID,OrderID,ProductID,Price,Quantity,CustomerID,OrderDate,Count,TotalAmount,Status,RetailerID,Name,MainCategory,SubCategory,SKU,CreatedAt,Reviews,Ratings,CleanedReviews,Sentiment,neg,neu,pos,compound,Cluster
21,13,4133,21.59,2,2549,2024-11-04 05:22:51,1,43.18,Shipped,2,Fila Women Track Pants,sports & fitness,All Exercise & Fitness,SKU1675,2024-08-11 16:39:09.464084,,,,,,,,,
22,14,8962,4.79,2,214,2024-03-17 18:02:14,3,219.56,Shipped,44,Premier Toilet Tissue Papers - 160 Pulls (2 Ply Roll  12 Pack),beauty & health,Health & Personal Care,SKU4645,2024-08-11 16:51:40.381659,,,,,,,,,
23,14,4916,15.59,2,214,2024-03-17 18:02:14,3,219.56,Shipped,100,aiwibi Australia Baby Wet Wipes - (1 Packs  80 Wipes ) (2),toys & baby products,Diapers,SKU1395,2024-08-11 16:40:30.990806,,,,,,,,,
24,14,8662,178.8,1,214,2024-03-17 18:02:14,3,219.56,Shipped,88,American Tourister Ivy Spinner Polypropylene (PP) 2 Pc Set Red Hard Luggage with TSA Lock Small & Medium Sets (55Cm + 68 Cm),accessories,Bags & Luggage,SKU2938,2024-08-11 16:51:05.732959,,,,,,,,,
25,15,883,12.14,2,3372,2024-02-25 17:51:18,3,108.22,Shipped,1,Rockjon Set of 2Cricket Bat Knocking Mallet with 1Handle Gripper Cone Cricket Kit Wooden Bat Mallet,sports & fitness,Cricket,SKU7057,2024-08-11 16:30:29.122785,,,,,,,,,
26,15,4005,10.79,2,3372,2024-02-25 17:51:18,3,108.22,Shipped,90,Funvention- for Little Scientist in Every Kid Catapult Mania Build and Play 6 Unique Games,toys & baby products,STEM Toys Store,SKU7347,2024-08-11 16:38:56.553837,,,,,,,,,
27,15,3846,15.59,4,3372,2024-02-25 17:51:18,3,108.22,Shipped,68,Clovia Women's Snug Slim Fit Tights,sports & fitness,All Sports  Fitness & Outdoors,SKU3398,2024-08-11 16:38:32.680563,,,,,,,,,
28,16,6262,119.99,2,2260,2024-02-20 16:12:05,2,290.35,Shipped,98,CITRA 250 MM Brown Body Triangle Ceiling lamp LED Pendant Hanging Lamp - Warm White,home & kitchen,Indoor Lighting,SKU6657,2024-08-11 16:44:54.962700,,,,,,,,,
29,16,2106,16.79,3,2260,2024-02-20 16:12:05,2,290.35,Shipped,34,Tormeaw Colorful Magic Slate for Kids Art Fun Drawing Writing Learning Activity Board (Multi Colors),toys & baby products,Toys & Games,SKU8701,2024-08-11 16:35:00.137909,,,,,,,,,
30,17,1019,11.99,4,2051,2024-05-10 02:29:59,1,47.96,Shipped,14,Shine Mate Polishing Foam Pad 6 Fit to 5 Backing Plate (Yellow/Flat/Hard)(150x25mm) - 1 Nos,car & motorbike,Car & Bike Care,SKU1989,2024-08-11 16:31:07.714628,,,,,,,,,
31,18,9141,20.39,4,4067,2024-11-05 13:45:09,3,25293.13,Shipped,19,PATOLA Women's Comfortable & Fashionable Casual & Party Bellies | Women's Ethnic Bellies Flat SOLE TPR Color GREEN,women's shoes,Ballerinas,SKU4461,2024-08-11 16:52:07.045529,,,,,,,,,
32,18,9940,8383.07,3,4067,2024-11-05 13:45:09,3,25293.13,Shipped,42,OMObikes Strong Pedals for Bicycles (Fit All Cycles),sports & fitness,Cycling,SKU7304,2024-08-11 16:54:01.210947,,,,,,,,,
33,18,1207,15.59,4,4067,2024-11-05 13:45:09,3,25293.13,Shipped,43,WolkomHome Car O.E Type Rubber Mud Flaps Mud Guard for Chevrolet Optra SRV,car & motorbike,Car Parts,SKU6661,2024-08-11 16:31:47.855017,,,,,,,,,
34,19,3284,30.59,4,4349,2024-11-27 03:49:44,1,122.36,In Transit,28,FITNESS INDIA™ Pull Reducer | Tummy Twister | AB Roller (Combo of 3) Full Body Exerciser Home Gym Exercise Equipment - Mul...,sports & fitness,Strength Training,SKU8670,2024-08-11 16:37:01.621918,,,,,,,,,
35,20,1518,23.99,1,642,2024-05-04 05:47:26,1,23.99,In Transit,27,Vector X Synergy Track Suit for Men's,sports & fitness,Cricket,SKU9970,2024-08-11 16:32:40.382754,,,,,,,,,
36,21,92,29.94,3,3290,2024-08-29 09:55:54,1,89.82,Delivered,79,crocs Women's Chai Sliders-W4 (206921-212),women's shoes,Fashion Sandals,SKU9855,2024-08-11 16:27:34.828703,"To be honest, the crocs Women's Chai Sliders-W4 (206921-212) is just alright. It’s not terrible, but there’s room for improvement. I wouldn't say it’s great, but it’s not awful either.",3.0,honest crocs womens chai slidersw alright terrible there room improvement wouldnt say great awful either,"{'neg': 0.244, 'neu': 0.344, 'pos': 0.412, 'compound': 0.5245}",0.244,0.344,0.412,0.5245,0.0
37,22,7380,67.19,4,3457,2024-03-02 16:42:36,2,345.52,Shipped,84,AASA Baby Swim Ring with Tree Canopy Children Swimming Rings with Sun Protection Summer Baby Swimming Pool/Floater for Ind...,toys & baby products,Strollers & Prams,SKU9347,2024-08-11 16:48:10.254565,,,,,,,,,
38,22,1860,19.19,4,3457,2024-03-02 16:42:36,2,345.52,Shipped,47,Shopnet Wireless Bluetooth Speaker TG113 For HTC Titan Ultra Boost Bass with DJ Sound Portable Home Speaker with Audio Lin...,tv  audio & cameras,Speakers,SKU2909,2024-08-11 16:33:57.795691,,,,,,,,,
39,23,6191,11026.84,2,4487,2024-11-04 11:38:53,3,22454.16,Shipped,15,DISHIS18k (750) Rose Gold Blue Sapphire Ring for Women,accessories,Gold & Diamond Jewellery,SKU2159,2024-08-11 16:44:38.024671,,,,,,,,,
40,23,2064,28.74,2,4487,2024-11-04 11:38:53,3,22454.16,Shipped,47,Satya Paul Blue Powder Silk Pocket Square for Men,stores,The Designer Boutique,SKU5127,2024-08-11 16:34:55.550110,,,,,,,,,
41,23,5645,85.75,4,4487,2024-11-04 11:38:53,3,22454.16,Shipped,63,AGPTEK IPX8 Waterproof in-Ear Earphones  Coiled Cable Swimming Earbuds with Stereo Audio Extension Cable  Black,tv  audio & cameras,Headphones,SKU5924,2024-08-11 16:43:13.274645,,,,,,,,,
42,24,4483,695.88,1,2313,2024-05-12 13:12:14,2,791.84,In Transit,49,Samsung 1.5 Ton 3 Star Convertible 5in1 Inverter Split AC (AR18BY3YAWK  White),appliances,Air Conditioners,SKU1848,2024-08-11 16:39:53.177257,,,,,,,,,
43,24,9498,23.99,4,2313,2024-05-12 13:12:14,2,791.84,In Transit,1,WorldCare® FTK Fishing Hard Fake Shrimp Fishing Wobr Squid Jig Artificia L1pc/lot Jigging Octopus 624 : MX-003  2g,bags & luggage,Rucksacks,SKU9743,2024-08-11 16:52:47.154470,,,,,,,,,
44,25,6987,30.8,3,1727,2024-05-11 15:56:50,2,116.39,In Transit,93,Miraan Women's Jute Cotton Saree with Blouse (SRHIW12  Brown),women's clothing,Ethnic Wear,SKU1573,2024-08-11 16:47:22.948012,,,,,,,,,
45,25,8730,23.99,1,1727,2024-05-11 15:56:50,2,116.39,In Transit,50,Peter England Men Jeans,men's clothing,Jeans,SKU4339,2024-08-11 16:51:16.755053,,,,,,,,,
46,26,8685,4.79,3,616,2024-04-17 20:19:12,3,123.58,Delivered,40,ZippyPaws Dog Toy Chew Bone for All Dog Sizes Small Medium Large Adults 13 CM,pet supplies,Dog supplies,SKU9919,2024-08-11 16:51:13.393044,The ZippyPaws Dog Toy Chew Bone for All Dog Sizes Small Medium Large Adults 13 CM was overpriced and didn’t live up to the hype. I found it frustrating to use and wouldn't recommend it at all.,1.0,zippypaws dog toy chew bone dog size small medium large adult cm overpriced didnt live hype found frustrating use wouldnt recommend,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.6136}",0.209,0.791,0.0,-0.6136,0.0
47,26,669,5.99,3,616,2024-04-17 20:19:12,3,123.58,Delivered,8,Fabme Women's Waist Shaper Panty,women's clothing,Clothing,SKU2514,2024-08-11 16:29:39.361104,"Had a great experience with the Fabme Women's Waist Shaper Panty, from ordering to delivery, and the product quality is superb. I'm very happy and would highly recommend it!",5.0,great experience fabme womens waist shaper panty ordering delivery product quality superb im happy would highly recommend,"{'neg': 0.0, 'neu': 0.469, 'pos': 0.531, 'compound': 0.9402}",0.0,0.469,0.531,0.9402,2.0
48,26,8834,22.81,4,616,2024-04-17 20:19:12,3,123.58,Delivered,31,ATORSE Fashion Fire Flame Sunglasses Rimless Wave Sun Glasses Eyewear Black,accessories,Sunglasses,SKU8111,2024-08-11 16:51:25.502684,The ATORSE Fashion Fire Flame Sunglasses Rimless Wave Sun Glasses Eyewear Black is fantastic! It fits perfectly and performs as promised. I couldn’t be happier with my purchase and will recommend it to my friends.,4.0,atorse fashion fire flame sunglass rimless wave sun glass eyewear black fantastic fit perfectly performs promised couldnt happier purchase recommend friend,"{'neg': 0.201, 'neu': 0.358, 'pos': 0.441, 'compound': 0.8662}",0.201,0.358,0.441,0.8662,0.0
49,27,2262,38.99,2,4943,2024-02-12 10:05:29,1,77.98,Shipped,35,Zoom Shoes Mens A1170 Oxford,men's shoes,Formal Shoes,SKU9270,2024-08-11 16:35:12.667730,,,,,,,,,
50,28,123,7.19,3,4634,2024-05-28 14:21:50,3,160.69,In Transit,46,MRB Men's Regular Fit Poly Cotton Trackpants (TRENDY TRACK PANT (CUP)(38)1 BL.MELANGE_Charcoal Grey_38),sports & fitness,Football,SKU7055,2024-08-11 16:27:37.340392,,,,,,,,,
51,28,7913,29.99,4,4634,2024-05-28 14:21:50,3,160.69,In Transit,80,Centrino Mens 4448 Casual - Men's Shoes,men's shoes,Casual Shoes,SKU4258,2024-08-11 16:49:57.524246,,,,,,,,,
52,28,7632,4.79,4,4634,2024-05-28 14:21:50,3,160.69,In Transit,97,Safewash Liquid Detergent 1Kg + 1Kg (Pouch),beauty & health,Health & Personal Care,SKU5978,2024-08-11 16:49:18.040383,,,,,,,,,
53,29,5277,211.67,2,1169,2024-02-04 10:45:56,1,423.34,Delivered,46,Travel Coffee Maker  Sunflower Poppy Sunflower Flowers Portable Storage Bag Suitable for Coffee Machines and Other Accesso...,bags & luggage,Travel Duffles,SKU7867,2024-08-11 16:41:38.247819,"The Travel Coffee Maker  Sunflower Poppy Sunflower Flowers Portable Storage Bag Suitable for Coffee Machines and Other Accesso... is fine for everyday use. It's not exceptional, but it gets the job done. I don't feel strongly about it either way.",3.0,travel coffee maker sunflower poppy sunflower flower portable storage bag suitable coffee machine accesso fine everyday use exceptional get job done dont feel strongly either way,"{'neg': 0.066, 'neu': 0.869, 'pos': 0.065, 'compound': -0.0036}",0.066,0.869,0.065,-0.0036,3.0
54,30,3245,32.36,4,2826,2024-09-01 00:07:01,2,143.84,Shipped,26,KUAW 1080P WiFi Home Security Camera with AP Hotspot Su ort Max 64GB cro SD Ca 24/7 Reco ing (Not Included) Night Version ...,tv  audio & cameras,Security Cameras,SKU2147,2024-08-11 16:36:58.609507,,,,,,,,,
55,30,5310,14.4,1,2826,2024-09-01 00:07:01,2,143.84,Shipped,24,BRIDAL GARNISH Synthetic Bellies Women Fashion Designer for Girls Women Casual Footwear Party Best Festive and Occassional...,women's shoes,Ballerinas,SKU9313,2024-08-11 16:41:57.097720,,,,,,,,,
56,31,8299,9.0,4,4300,2024-03-28 15:15:45,2,44.64,Shipped,39,SAVIAURA 1 Sheet 2 in 1 Photography Backdrop 3D Flat Lay Tabletop Double-Sided 22x16 Photo Background PVC Wrinkle-Free for...,tv  audio & cameras,Cameras,SKU5410,2024-08-11 16:50:32.568066,,,,,,,,,
57,31,4728,2.16,4,4300,2024-03-28 15:15:45,2,44.64,Shipped,67,Krishna's Neem Juice - 500 ml | Fresh Rajasthani Neem Leaves | Natural Blood Purifier,grocery & gourmet foods,Coffee  Tea & Beverages,SKU7915,2024-08-11 16:40:08.714739,,,,,,,,,
58,32,3788,9.59,3,4984,2024-08-09 21:25:03,2,172.73,Shipped,92,Magnusdeal Passport Wallet Portable Waterproof Travel Pouch Cards Organizer Zipper Case Phone Cash Holder,bags & luggage,Travel Accessories,SKU3054,2024-08-11 16:38:20.579748,,,,,,,,,
59,32,6524,35.99,4,4984,2024-08-09 21:25:03,2,172.73,Shipped,91,AMPEREUS 250 Volts Float Switch Sensor for Water Level Controller with 3 Meter Wire: Select NO/NC 3 Meters Cable Length(1 ...,industrial supplies,Industrial & Scientific Supplies,SKU1387,2024-08-11 16:45:49.062763,,,,,,,,,
60,33,9316,771.7,2,4067,2024-11-21 07:41:29,2,1553.0,Delivered,80,PC Jeweller The Verena 18KT Yellow Gold and Diamond Ring for Women,accessories,Gold & Diamond Jewellery,SKU9412,2024-08-11 16:52:25.890855,"I was really disappointed with the PC Jeweller The Verena 18KT Yellow Gold and Diamond Ring for Women. The quality was poor, and it didn't meet any of my expectations. I wouldn't recommend it to anyone.",2.0,really disappointed pc jeweller verena kt yellow gold diamond ring woman quality poor didnt meet expectation wouldnt recommend anyone,"{'neg': 0.331, 'neu': 0.577, 'pos': 0.092, 'compound': -0.7354}",0.331,0.577,0.092,-0.7354,0.0
61,33,3639,4.8,2,4067,2024-11-21 07:41:29,2,1553.0,Delivered,8,DC-Fly Premium Spike Nylon Collar for Dog (Blue  Large - 1.25-inch),pet supplies,Dog supplies,SKU7698,2024-08-11 16:37:43.008227,The DC-Fly Premium Spike Nylon Collar for Dog (Blue  Large - 1.25-inch) was overpriced and didn’t live up to the hype. I found it frustrating to use and wouldn't recommend it at all.,2.0,dcfly premium spike nylon collar dog blue large inch overpriced didnt live hype found frustrating use wouldnt recommend,"{'neg': 0.238, 'neu': 0.762, 'pos': 0.0, 'compound': -0.6136}",0.238,0.762,0.0,-0.6136,0.0
62,34,1512,11.99,3,2744,2024-10-03 20:45:03,2,131.93,In Transit,65,ZLOX Baby Premium Cloth Diaper Reusable  Washable  Adjustable Size  Waterproof Cloth Diaper  Multicolor (Pack of 4),toys & baby products,Diapers,SKU5180,2024-08-11 16:32:40.216907,,,,,,,,,
63,34,1216,23.99,4,2744,2024-10-03 20:45:03,2,131.93,In Transit,5,Backpack For Women's/Girls,bags & luggage,Backpacks,SKU3282,2024-08-11 16:31:48.811399,,,,,,,,,
64,35,8566,35.99,4,585,2024-10-24 04:24:16,2,151.15,Shipped,59,KazarMax Women Beaded and Feathered Sliders,women's shoes,Shoes,SKU8812,2024-08-11 16:50:52.040661,,,,,,,,,
65,35,123,7.19,1,585,2024-10-24 04:24:16,2,151.15,Shipped,46,MRB Men's Regular Fit Poly Cotton Trackpants (TRENDY TRACK PANT (CUP)(38)1 BL.MELANGE_Charcoal Grey_38),sports & fitness,Football,SKU7055,2024-08-11 16:27:37.340392,,,,,,,,,
66,36,5403,11.99,2,3877,2024-09-14 11:54:30,1,23.98,Delivered,62,Knotyy Cap for Men Women Sports Cap Baseball Cap Hip Hop Snapback Cap Cricket Caps Topi with Adjustable Strap Printed Poly...,sports & fitness,All Sports  Fitness & Outdoors,SKU5195,2024-08-11 16:42:06.219664,"Had a great experience with the Knotyy Cap for Men Women Sports Cap Baseball Cap Hip Hop Snapback Cap Cricket Caps Topi with Adjustable Strap Printed Poly..., from ordering to delivery, and the product quality is superb. I'm very happy and would highly recommend it!",5.0,great experience knotyy cap men woman sport cap baseball cap hip hop snapback cap cricket cap topi adjustable strap printed poly ordering delivery product quality superb im happy would highly recommend,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.9402}",0.0,0.648,0.352,0.9402,2.0
67,37,2349,5.99,4,3371,2024-01-02 11:04:38,2,59.6,Delivered,4,Axter Men's 9273 Black Casual Sports Running Shoes,sports & fitness,Running,SKU2263,2024-08-11 16:35:18.446345,The Axter Men's 9273 Black Casual Sports Running Shoes was overpriced and didn’t live up to the hype. I found it frustrating to use and wouldn't recommend it at all.,1.0,axter men black casual sport running shoe overpriced didnt live hype found frustrating use wouldnt recommend,"{'neg': 0.253, 'neu': 0.656, 'pos': 0.091, 'compound': -0.4956}",0.253,0.656,0.091,-0.4956,0.0
68,37,7819,11.88,3,3371,2024-01-02 11:04:38,2,59.6,Delivered,20,AONES Pack of 2 Silicone Watch Strap Compatible for Styx Kore Smart Watch Band Black,kids' fashion,Kids' Watches,SKU7837,2024-08-11 16:49:45.490425,"Had a great experience with the AONES Pack of 2 Silicone Watch Strap Compatible for Styx Kore Smart Watch Band Black, from ordering to delivery, and the product quality is superb. I'm very happy and would highly recommend it!",4.0,great experience aones pack silicone watch strap compatible styx kore smart watch band black ordering delivery product quality superb im happy would highly recommend,"{'neg': 0.0, 'neu': 0.522, 'pos': 0.478, 'compound': 0.9545}",0.0,0.522,0.478,0.9545,2.0
69,38,394,19.19,3,1135,2024-01-18 13:07:57,2,77.67,Shipped,45,Bell BLSP131 Portable Bluetooth Wireless Speaker Compatible with Mobile  Music & Portable Gaming Devices & Multi-Connectiv...,tv  audio & cameras,Speakers,SKU2189,2024-08-11 16:28:55.494216,,,,,,,,,
70,38,6077,20.1,1,1135,2024-01-18 13:07:57,2,77.67,Shipped,58,Aswadh Fashion Round Frame Women Men Color Lens Outdoor Diving Sunglasses Eyewear 7,accessories,Sunglasses,SKU6308,2024-08-11 16:44:14.886634,,,,,,,,,
71,39,2628,11.99,4,3133,2024-02-20 06:37:47,1,47.96,In Transit,76,JULEX Wheel Ab Roller with Knee Mat - Abdominal Workout Fitness Exercise EquipmentAbs Workout with Thick Knee Pad Mat Exer...,sports & fitness,Strength Training,SKU2800,2024-08-11 16:35:45.884137,,,,,,,,,
72,40,9310,9272.71,4,3812,2024-03-21 11:05:48,1,37090.84,Shipped,87,sindhwani ENTERPRISE0S.Yoga and Exercise mat of 4mm (Orange) Yoga Mat with Yoga Mat Carry Strap 100% Eco Friendlly,sports & fitness,Fitness Accessories,SKU4099,2024-08-11 16:52:25.372230,,,,,,,,,
73,41,3253,19.19,3,1385,2024-08-04 10:28:12,1,57.57,Delivered,92,LARSSST Men Grey Round Neck Printed Full Sleeve Sweatshirt-LrMSWTGREY03,sports & fitness,Football,SKU3324,2024-08-11 16:36:59.056900,"The LARSSST Men Grey Round Neck Printed Full Sleeve Sweatshirt-LrMSWTGREY03 turned out to be a big letdown. It feels cheaply made, and I regret buying it. Definitely not worth the money I spent.",2.0,larssst men grey round neck printed full sleeve sweatshirtlrmswtgrey turned big letdown feel cheaply made regret buying definitely worth money spent,"{'neg': 0.109, 'neu': 0.664, 'pos': 0.227, 'compound': 0.25}",0.109,0.664,0.227,0.25,1.0
74,42,4975,71.99,4,4623,2024-09-26 18:29:37,2,359.96,Delivered,87,AGEGIC Mini Foldable Washing Machine | Undergarments and use in travel also | Ultrasonic Cleaning Machine | Small Automati...,appliances,Washing Machines,SKU4303,2024-08-11 16:40:41.212214,The AGEGIC Mini Foldable Washing Machine | Undergarments and use in travel also | Ultrasonic Cleaning Machine | Small Automati... is fantastic! It fits perfectly and performs as promised. I couldn’t be happier with my purchase and will recommend it to my friends.,4.0,agegic mini foldable washing machine undergarment use travel also ultrasonic cleaning machine small automati fantastic fit perfectly performs promised couldnt happier purchase recommend friend,"{'neg': 0.129, 'neu': 0.449, 'pos': 0.422, 'compound': 0.9025}",0.129,0.449,0.422,0.9025,0.0
75,42,6448,24.0,3,4623,2024-09-26 18:29:37,2,359.96,Delivered,97,Raptor Air Conditioner Motor 25 watt 1350 RPM Indoor Unit RA 408,appliances,Heating & Cooling Appliances,SKU2354,2024-08-11 16:45:43.463252,The Raptor Air Conditioner Motor 25 watt 1350 RPM Indoor Unit RA 408 is fantastic! It fits perfectly and performs as promised. I couldn’t be happier with my purchase and will recommend it to my friends.,5.0,raptor air conditioner motor watt rpm indoor unit ra fantastic fit perfectly performs promised couldnt happier purchase recommend friend,"{'neg': 0.149, 'neu': 0.365, 'pos': 0.487, 'compound': 0.9025}",0.149,0.365,0.487,0.9025,0.0
