TransactionID,OrderID,PaymentMethod,Amount,TransactionDate
57,57,Debit Card,475.69,2024-06-13 21:50:33.544702
58,58,Credit Card,160.31,2024-06-12 21:50:33.544703
59,59,Credit Card,181.31,2024-06-11 21:50:33.544704
60,60,Credit Card,323.45,2024-06-10 21:50:33.544705
61,61,Debit Card,258.18,2024-06-09 21:50:33.544707
62,62,Debit Card,82.49,2024-06-08 21:50:33.544708
63,63,Credit Card,148.4,2024-06-07 21:50:33.544709
64,64,Debit Card,436.28,2024-06-06 21:50:33.544710
65,65,PayPal,412.03,2024-06-05 21:50:33.544711
66,66,Debit Card,115.09,2024-06-04 21:50:33.544713
67,67,Debit Card,174.86,2024-06-03 21:50:33.544714
68,68,Debit Card,409.54,2024-06-02 21:50:33.544715
69,69,PayPal,260.66,2024-06-01 21:50:33.544716
70,70,Debit Card,169.18,2024-05-31 21:50:33.544717
71,71,PayPal,233.68,2024-05-30 21:50:33.544719
72,72,Debit Card,203.34,2024-05-29 21:50:33.544720
73,73,Credit Card,315.22,2024-05-28 21:50:33.544721
74,74,PayPal,245.6,2024-05-27 21:50:33.544722
75,75,PayPal,453.51,2024-05-26 21:50:33.544723
76,76,PayPal,378.0,2024-05-25 21:50:33.544725
77,77,PayPal,186.28,2024-05-24 21:50:33.544726
78,78,Credit Card,254.4,2024-05-23 21:50:33.544727
79,79,Credit Card,170.6,2024-05-22 21:50:33.544728
80,80,Debit Card,149.24,2024-05-21 21:50:33.544729
81,81,Credit Card,435.01,2024-05-20 21:50:33.544731
82,82,Debit Card,387.14,2024-05-19 21:50:33.544732
83,83,PayPal,465.52,2024-05-18 21:50:33.544733
84,84,Debit Card,235.41,2024-05-17 21:50:33.544734
85,85,PayPal,398.16,2024-05-16 21:50:33.544735
86,86,PayPal,207.12,2024-05-15 21:50:33.544736
87,87,Debit Card,354.82,2024-05-14 21:50:33.544738
88,88,Debit Card,264.82,2024-05-13 21:50:33.544739
89,89,Credit Card,125.66,2024-05-12 21:50:33.544740
90,90,PayPal,334.56,2024-05-11 21:50:33.544741
91,91,Debit Card,325.56,2024-05-10 21:50:33.544742
92,92,Credit Card,471.76,2024-05-09 21:50:33.544744
93,93,Debit Card,390.83,2024-05-08 21:50:33.544745
94,94,Credit Card,179.1,2024-05-07 21:50:33.544746
95,95,Credit Card,470.07,2024-05-06 21:50:33.544747
96,96,PayPal,141.56,2024-05-05 21:50:33.544749
97,97,Debit Card,191.56,2024-05-04 21:50:33.544750
98,98,Credit Card,100.85,2024-05-03 21:50:33.544751
99,99,PayPal,435.69,2024-05-02 21:50:33.544753
100,100,Debit Card,284.86,2024-05-01 21:50:33.544755
